,winrate,ban_pick_rate,core_items,main_roles
Jinx,51.26,9.625,"[""Berserker's Greaves"", 'Kraken Slayer', 'Infinity Edge']",['BOTTOM']
Kaisa,50.58,27.865,"[""Guinsoo's Rageblade"", ""Berserker's Greaves"", 'Statikk Shiv']",['BOTTOM']
Kalista,45.33,3.75,"['Blade of The Ruined King', ""Berserker's Greaves"", ""Guinsoo's Rageblade""]",['BOTTOM']
Karma,49.67,10.77,"['Ionian Boots of Lucidity', ""Zaz'Zak's Realmspike"", 'Malignance']",['UTILITY']
Karthus,52.97,1.435,"[""Sorcerer's Shoes"", ""Liandry's Torment"", 'Malignance']",['JUNGLE']
Kassadin,49.4,1.95,"[""Seraph's Embrace"", 'Malignance', ""Sorcerer's Shoes""]",['MIDDLE']
Katarina,48.92,5.885,"[""Sorcerer's Shoes"", 'Shadowflame', 'Lich Bane']",['MIDDLE']
Kayle,51.97,0.74,"[""Nashor's Tooth"", ""Berserker's Greaves"", ""Guinsoo's Rageblade""]","['TOP', 'MIDDLE']"
Kayn,47.49,3.17,"['Eclipse', 'Ionian Boots of Lucidity', 'Black Cleaver']",['JUNGLE']
Kennen,53.5,2.395,"[""Sorcerer's Shoes"", 'Hextech Rocketbelt', ""Liandry's Torment""]",['TOP']
Khazix,49.2,15.51,"[""Youmuu's Ghostblade"", 'Profane Hydra', 'Opportunity']",['JUNGLE']
Kindred,51.27,10.63,"['Kraken Slayer', 'The Collector', 'Plated Steelcaps']",['JUNGLE']
Kled,56.58,1.27,"['Profane Hydra', 'Eclipse', 'Plated Steelcaps']",['TOP']
KogMaw,51.14,2.895,"[""Guinsoo's Rageblade"", ""Berserker's Greaves"", 'Blade of The Ruined King']",['BOTTOM']
KSante,51.24,9.79,"['Iceborn Gauntlet', 'Plated Steelcaps', 'Thornmail']",['TOP']
Leblanc,54.63,26.445,"[""Luden's Companion"", ""Sorcerer's Shoes"", 'Stormsurge']",['MIDDLE']
LeeSin,48.86,27.125,"['Eclipse', 'Sundered Sky', 'Black Cleaver']",['JUNGLE']
Leona,50.43,7.025,"['Locket of the Iron Solari', 'Celestial Opposition', 'Plated Steelcaps']",['UTILITY']
Lillia,52.21,3.44,"[""Liandry's Torment"", ""Rylai's Crystal Scepter"", 'Riftmaker']",['JUNGLE']
Lissandra,49.75,4.7,"['Malignance', ""Zhonya's Hourglass"", ""Sorcerer's Shoes""]",['MIDDLE']
Lucian,48.05,7.73,"['Essence Reaver', 'Infinity Edge', 'Navori Flickerblade']",['BOTTOM']
Lulu,50.0,14.345,"['Dream Maker', 'Ionian Boots of Lucidity', 'Ardent Censer']",['UTILITY']
Lux,48.84,10.125,"[""Sorcerer's Shoes"", ""Zaz'Zak's Realmspike"", ""Luden's Companion""]","['MIDDLE', 'UTILITY']"
Malphite,48.33,7.215,"['Malignance', 'Plated Steelcaps', 'Thornmail']",['TOP']
Malzahar,47.46,2.82,"[""Liandry's Torment"", ""Sorcerer's Shoes"", ""Rylai's Crystal Scepter""]",['MIDDLE']
Maokai,47.77,1.355,"['Locket of the Iron Solari', 'Celestial Opposition', 'Plated Steelcaps']","['JUNGLE', 'UTILITY']"
MasterYi,47.75,4.525,"['Blade of The Ruined King', ""Guinsoo's Rageblade"", 'Kraken Slayer']",['JUNGLE']
Milio,49.26,4.69,"['Dream Maker', 'Ionian Boots of Lucidity', 'Moonstone Renewer']",['UTILITY']
MissFortune,51.07,2.95,"['The Collector', 'Bloodthirster', 'Infinity Edge']",['BOTTOM']
